,User ID,Date,Language,Text
74,1569043458932850688,2022-09-11 19:21:26+00:00,en,"Kansas was quick to legalize drive-thru cocktails at fast food restaurants but will still throw you in jail and throw away the key if you’re caught with a little weed. #ksleg #LegalizeIt #mmj 

🔗 https://t.co/DlhfVqXzsD https://t.co/pN6v11xIto"
75,1569043136126586882,2022-09-11 19:20:09+00:00,en,"@RaulNBCBoston @PhilAPerry Weed/edibles
Maybe DMT"
76,1569042940290560001,2022-09-11 19:19:23+00:00,en,"@patriottakes I wonder - is he in CA to score some of the sweet, legal CA weed?

I'm just askin' questions..."
77,1569042908182872066,2022-09-11 19:19:15+00:00,en,"@HealthnFreedom @paulkrugman HUGE amounts of cash from legal cannabis sales in Co, CA, OR, WA, and many other states CAN’T BE BANKED. Fastest way to wash legal cannabis cash is at the title company closing table. It’s perfectly legal for a seller to accept a briefcase full of cash and turn around and bank it"
78,1569041487626915841,2022-09-11 19:13:36+00:00,en,"@mmmMugwort @alice215 @king_of_bob @SnowHimbo Libertarians are nothing more than Republicans who like weed. As far as I'm concerned, they're lower than scum."
79,1569041319732957191,2022-09-11 19:12:56+00:00,en,Ickey got smoked like good weed
80,1569040965922603008,2022-09-11 19:11:32+00:00,en,@DailyCaller As someone that actually live in CA &amp; the rural areas that produce cannabis.... This has been ongoing for years. Illegal grows are heavily targeted in California. I personally have friends in law enforcement and the national guard and that's all they do. All liberals.
81,1569040789082177537,2022-09-11 19:10:50+00:00,en,"@GOCNDIRISH @GloriaWetzel4 @JohnFetterman @DrOz He supports Medicare for all, bringing good paying jobs back in America, Raise the minimum wage, Pass the Pro Act and help protect workers who are organizing, Defending Women’s rights, legalize marijuana. He sounds like a champ."
82,1569039808835756032,2022-09-11 19:06:56+00:00,en,Dedication to your #cannabis plant is what makes for better smoke. Slacking off work on her needs will result in failure. And make for bad smoke.
83,1569039645182156802,2022-09-11 19:06:17+00:00,en,"And here's me and @PJK4brainhealth argh I disagree so hard with him on cannabis, but super happy to see him supporting @HelenaBFoulkes #vote https://t.co/BtTqkdGEbk"
84,1569038685303193603,2022-09-11 19:02:28+00:00,en,"Weeding out plastic waste in the cannabis industry!

Most cannabis packaging solutions are made of Polypropylene (PP), a plastic that can be found in takeaway food containers.

Find out more about this interesting topic! 
Read our blog: https://t.co/t1eeAqidmo https://t.co/uZpfMRHmVA"
85,1569036762240159745,2022-09-11 18:54:50+00:00,en,"this woman just called me a man after i said i was lesbian, and asked why i was trying to speak to her man. meanwhile her man was SELLING WEED &amp; i was just trying to pick up and ask if he take cashapp, like i’m so stunned that this happened rn. like i’m going through it bad"
86,1569036702899109888,2022-09-11 18:54:35+00:00,en,How did I lose my weed ! SMH !
87,1569036002710241280,2022-09-11 18:51:48+00:00,en,"I know i said i had no weed, but i found a blunt"
88,1569034288221356035,2022-09-11 18:45:00+00:00,en,wondering if there’s any correlation between soldiers who used marijuana during and after combat vs those who did not https://t.co/AQRHJkVJdJ
89,1569034256155828225,2022-09-11 18:44:52+00:00,en,"@wolfgirl1 @BucksDems @JohnFetterman Sure, keep believing that they are only going to release ""weed offenders"". Bless your heart, Dear. Research just how releasing ""weed offenders"" worked out in CA. Tell that to the family of the woman murdered in Memphis an  early released convict who previously killed someone."
90,1569033493119729674,2022-09-11 18:41:50+00:00,en,cannabis🌿 https://t.co/KdkHVXxEbi
91,1569033430352150528,2022-09-11 18:41:35+00:00,en,@Tumble____weed @Emrys_Angel sounds fun :)
92,1569032080142770181,2022-09-11 18:36:13+00:00,en,"Fucking right!!! Oh, and definitely don't forget the weed... https://t.co/gA8iXpVNY0"
93,1569031973397733378,2022-09-11 18:35:48+00:00,en,Ion got no mf weed n thats the problem
94,1569030780181164035,2022-09-11 18:31:03+00:00,en,"My Babies are doing so well, this is our 2nd round growing and I’ve learned so much! Thanks Cannabis Community @Futbolpapi_40 💚 #stonerchick #cannabliss #WeedLovers #CannabisCommunity #cannabisindustry #cannabisculture #Mmemberville #cannabis #cannawitch #cannagrower https://t.co/8ZcDAo7Lg6"
95,1569029903902986241,2022-09-11 18:27:34+00:00,en,@mtvtacallya Niggas high off mid &amp; gun powder lmao that’s why they hate weed so much
96,1569029294462218240,2022-09-11 18:25:09+00:00,en,I wish I was still smoking weed. I would have a few rolled up right now watching football
97,1569028803292446727,2022-09-11 18:23:12+00:00,en,@brettness37 I’m fighting wildfire smoke and allergies and weed smoking and I sound like I have constant bronchitis. I just don’t go anywhere anymore. 😩
98,1569028194014986241,2022-09-11 18:20:47+00:00,en,White. . . Weed #cannabis - ' sunsun (#sundays) #podcast #streaming ‐ subscriptions. trapogoly https://t.co/sOCd5TANDG
99,1569027826963054596,2022-09-11 18:19:19+00:00,en,Use it’s fun rad eye 👁 rock hard girl love sissy pops Pa &amp; Ma Momz got a real living prob Lenape killer weed I can taste 👅 sock seconds shotgun blown uppity upper fixer up ⬆️ high in cloud nine pink soap sign high low in compliance packaging pursuing happiness burn 🔥 focus#
100,1569027818633441281,2022-09-11 18:19:17+00:00,en,I never thought it was possible to have withdrawals from weed … babyyyyyyy 😭😭😭
101,1569026637630513153,2022-09-11 18:14:36+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f"
102,1569025448604061699,2022-09-11 18:09:52+00:00,en,"@MatthewPHoh It's not time to legalize cannabis. It's time to send that authority back to the States.

Federal govt can limit transport across States and the import/export thereof. Constitutionally, that's all."
103,1569024929957400583,2022-09-11 18:07:49+00:00,en,"today is giving, imma get wine drunk smoke my weed &amp; watch my ghetto tv… yea"
104,1569023346464940033,2022-09-11 18:01:31+00:00,en,"😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣💣🔥.
(Peace &amp; Weed)
(TBW) https://t.co/rI7pT6TBZA"
105,1569023124833992705,2022-09-11 18:00:38+00:00,en,"@LP27249621 @boots29508325 @LeafandThistle PMJT has a history of telling the Elites and UN to shove it. https://t.co/RzR2qg5uMp

Show me where PP has even passed a single bill in his 18 year career. Continuous politician, no job history, somehow amassed $9m in wealth in his 18 year MP career. You're a fucking sucker."
106,1569023116730400768,2022-09-11 18:00:36+00:00,en,"Chicago Bears &amp; Buffalo Bills. 
(Peace &amp; Weed)
(TBW) https://t.co/dj4wUkLtjX"
107,1569023087986855939,2022-09-11 18:00:29+00:00,en,I need me some damn weed omg
108,1569022985549369344,2022-09-11 18:00:05+00:00,en,"🤣🤣🤣🤣🤣😂😂😂😂💣🔥.
(Peace &amp; Weed)
(TBW) https://t.co/YpMtuNuJCt"
109,1569022869296009216,2022-09-11 17:59:37+00:00,en,@offshoreoddity Also occasional posts like this are good ways to weed out prudes and cowards 🤣
110,1569022606703054849,2022-09-11 17:58:35+00:00,en,@419show @goldiessweetbox Motherhood Sex Marijuana The Podcast #StonerFam #Mmemberville #podcast line up for SE4 OUT DA DOOR 😁💚 https://t.co/degKHsTPM3 https://t.co/Cub5UOnP6A
111,1569021371505856512,2022-09-11 17:53:40+00:00,en,Should have smoked some Oregon weed first.. that food is nirvana after a bowl! https://t.co/GLrNaOBgD9
112,1569020945427480576,2022-09-11 17:51:59+00:00,en,"RT @SiskiyouSheriff: #MillFire Local Assistance Center today until 6 p.m. in Weed, CA."
113,1569020165769265153,2022-09-11 17:48:53+00:00,en,"RT @SiskiyouSheriff: #MillFire Local Assistance Center today until 6 p.m. in Weed, CA."
114,1569019920314146817,2022-09-11 17:47:54+00:00,en,"Supply run before heading off to Louisville #muchneeded (@ Pisos Marijuana Dispensary - @pisoslv in Las Vegas, NV) https://t.co/4Uz6E8lsXO https://t.co/aL1Y5BqgbM"
115,1569019818531262464,2022-09-11 17:47:30+00:00,en,@reviews_thc @ou812_Kess Cons voted no to legalizing cannabis. #NeverVoteConservative https://t.co/JojBd7qxkH
116,1569019681163608064,2022-09-11 17:46:57+00:00,en,"RT @SiskiyouSheriff: #MillFire Local Assistance Center today until 6 p.m. in Weed, CA."
117,1569019644081733633,2022-09-11 17:46:48+00:00,en,"#MillFire Local Assistance Center today until 6 p.m. in Weed, CA. https://t.co/tMAch9LZ1m"
118,1569018742935547904,2022-09-11 17:43:13+00:00,en,@darbysounds does weed count
119,1569017567607668737,2022-09-11 17:38:33+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f"
120,1569016672400572417,2022-09-11 17:35:00+00:00,en,@meaagain1 cons voted against legalizing cannabis. https://t.co/JojBd7qxkH
121,1569015689217986561,2022-09-11 17:31:05+00:00,en,"RT @CALFIRE_PIO: #RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres…"
122,1569015107115692033,2022-09-11 17:28:47+00:00,en,BRUH ONE OF MY EMPLOYEES JUST TEXTED THE GROUP CHAT HIS WEED ORDER BY ACCIDENT
123,1569014640423899136,2022-09-11 17:26:55+00:00,en,@TheVotersSay @ou812_Kess Cons voted no to legalizing cannabis. https://t.co/JojBd7qxkH
124,1569014554100736001,2022-09-11 17:26:35+00:00,en,I farted on a bag of weed behind the cinema https://t.co/rPgnuR1jHB
125,1569014112826556416,2022-09-11 17:24:50+00:00,en,This is why I smoke weed instead of drinking
126,1569013462176780289,2022-09-11 17:22:14+00:00,en,My grandma still call weed “the devils lettuce” 🥬😭😂 I hate it here bruhh
127,1569013324209160193,2022-09-11 17:21:42+00:00,en,Follow @thelungfactory to see this lovely lady tell you all about cannabis facts. https://t.co/WKZedOCgw9
128,1569012591766441986,2022-09-11 17:18:47+00:00,en,RT @BioHarvestBHSC: Differentiation Through #Innovation-&gt; Our #technology grows cannabis which is 93% trichomes. This equals 100-200X the d…
129,1569011862146269184,2022-09-11 17:15:53+00:00,en,"Please call @CAgovernor @GavinNewsom to Veto SB1186 &amp; sign here to keep Local Control - California residents should make their laws, not Big Cannabis corporations. 

https://t.co/GF0fmNNprb. https://t.co/yuzAK336Rr"
130,1569011621049122817,2022-09-11 17:14:55+00:00,en,"I have some questions.

https://t.co/F5WODSZAsu https://t.co/ACVq1OznSx https://t.co/M9asIoAdDC"
131,1569010807807291393,2022-09-11 17:11:42+00:00,en,"@craig_misewicz Yea, I’ve been a big fan of @Flipboard for many years, Craig.

Which is why I’m providing access to Higher Learning LV’s Study Summary article series to Flipboard users. 

It’s a fast + slickly designed + convenient way to learn about cannabis science for busy professionals! 🧠 https://t.co/88ci43qhp9"
132,1569010767646855168,2022-09-11 17:11:32+00:00,en,"@happydudeguy @aanand You not only missed the point, but now, if an active service member were caught with weed in their system, they would be dishonorably discharged"
133,1569009573968891906,2022-09-11 17:06:47+00:00,en,@erinsxoupp Not me having to work and when I got off I smoked weed and rotted all day till I fell asleep 🤧
134,1569009154140012545,2022-09-11 17:05:07+00:00,en,"The “daily drug regimen” speech from The Wolf of Wall Street, but it’s just weed for every occasion"
135,1569008927609856002,2022-09-11 17:04:13+00:00,en,"RT @parischolland: follow my IG for lots of cannabis industry content ✨🍃📍 Los Angeles, CA | https://t.co/t5hqQ1SsJ8"
136,1569008254176346112,2022-09-11 17:01:33+00:00,en,@KingslandBid2 @JCAndersonNYC @berrystalliance @friends_cooper @EmilyAssembly @JenGutierrezNYC @NYPD94Pct @stnicksalliance @brooklynsteel @DavilaAssembly And if you zoom in im rolling weed
137,1569008227597295618,2022-09-11 17:01:26+00:00,en,"If your Canadian &amp; your looking for a medical #cannabis prescription. @SpartanVeteran will get you that prescription free of charge. Check out their website. 

https://t.co/IIHxVf4HG5"
138,1569007636892229633,2022-09-11 16:59:06+00:00,en,"@ememess Smoked opium and read HPL in an old Victorian located in Colchester (Illinois, not England). Smoked cannabis and read MMS in a small house behind a Victorian located in Eureka (California, not Illinois). About the same vibe."
139,1569007544902754304,2022-09-11 16:58:44+00:00,en,What food i order to pair with my weed and seltzers — quickly!
140,1569007308276916228,2022-09-11 16:57:47+00:00,en,Visa is creating a new merchant category for gun sales but doesn’t want us to buy weed or adult content. Make it make sense
141,1569006847465758722,2022-09-11 16:55:57+00:00,en,Legalize my medicine marijuana no seizures 9+ years https://t.co/OUGTmPcN62
142,1569006712308350982,2022-09-11 16:55:25+00:00,en,"#MSOGang ""German cannabis imports growing as Canada’s leading share wanes.""  https://t.co/E4zIhTryTt via @MJBizDaily"
143,1569006475787534337,2022-09-11 16:54:29+00:00,en,"Missing text 😬 
CALIFORNIANS - Big Cannabis keeps attempting to rewrite California laws for their benefit; their latest efforts have made it to Governor Gavin Newsom's desk. PLEASE TAKE ACTION to ask our Governor to veto SB1186.

The WHY is linked here:  https://t.co/QTDOIrbpVq https://t.co/Ei4NyXPMtt"
144,1569006131774734336,2022-09-11 16:53:07+00:00,en,"So… Aaron Rogers can do ayahuasca (which is not a performance enhancing drug) and literally say that doing it “made him win MVP” and that’s fine, but if someone smokes weed (also not a performance enhancing drug) they get a year suspension??"
145,1569005877314863105,2022-09-11 16:52:06+00:00,en,RT @ResistanceCats: Pierre Poilievre also voted against bill c-45 which  “provide legal access to cannabis and to control and regulate its…
146,1569005808368889856,2022-09-11 16:51:50+00:00,en,"RT @EmergencyInfo7: Breaking: #Millfire (Weed, Ca) &amp; #MountainFire (Gazelle, Ca) are burning in Siskiyou County in Northern California. Nor…"
147,1569005435163648003,2022-09-11 16:50:21+00:00,en,I need weed 💕💕
148,1569003298644000770,2022-09-11 16:41:51+00:00,en,Personal weed 🍃 man needed
149,1569002931680346112,2022-09-11 16:40:24+00:00,en,Weed dust 😂 https://t.co/DTLgiYPm44
150,1569002850839326721,2022-09-11 16:40:04+00:00,en,"smoke’m like it’s BUDDDDD (weed) 
in person you was a DUBBBBB 😂😂😂😂 ugly B|tchhhhhhh 
@NICKIMINAJ I’m readyyyy 🔥🫶🏾🙌🏾
#LoveInTheWay #BitchYouBLEUit"
151,1569002364450836482,2022-09-11 16:38:08+00:00,en,@StevenPGiles @PaulBrown_UK It smelled like weed and grown men 😂
152,1569002362093850625,2022-09-11 16:38:08+00:00,en,Finna buy a QP of smokes. Tired of running outta weed
